num_try,mode,val_loss,val_acc,val_error,val_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
57,Mode.DLMT_DQ_F_TORQUE,6.544825601577759,2.006190776824951,8.540555089712143,8.540555089712143,89.25167894363403,0.0048726527690887,0.000437097787857,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.0,True,211,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
58,Mode.DLMT_DQ_F_TORQUE,6.238471546173096,1.942071795463562,9.79251116514206,9.79251116514206,116.24853324890135,0.0050185474157333,0.0004461590051651,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.2,True,263,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
59,Mode.DLMT_DQ_F_TORQUE,6.677731122970581,2.1123268604278564,13.397368788719175,13.397368788719175,193.15001773834229,0.0048224335908889,0.0004162490367889,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.001,0.01,0.5,True,438,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
60,Mode.DLMT_DQ_F_TORQUE,6.572614297866822,1.9669084548950195,3.4115105867385864,3.4115105867385864,68.67212915420532,0.0047712798118591,0.0004105818271636,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.01,0.01,0.0,True,163,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
61,Mode.DLMT_DQ_F_TORQUE,5.634641618728637,1.890653610229492,-1.1619464494287968,1.1619464494287968,93.62424230575562,0.0048428443670272,0.0004135531187057,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.01,0.01,0.2,True,211,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
62,Mode.DLMT_DQ_F_TORQUE,6.525720844268799,2.056128740310669,-0.0505798321682959,0.0505798321682959,133.207750082016,0.0055788948535919,0.0004607375860214,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.0,0.01,0.01,0.5,True,302,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
63,Mode.DLMT_DQ_F_TORQUE,7.747693510055542,2.132436990737915,5.865045264363289,5.865045264363289,70.86400818824768,0.0050663530826568,0.0004160351753234,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.0,True,167,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
64,Mode.DLMT_DQ_F_TORQUE,6.498395767211914,1.986167430877685,2.6119887828826904,2.6119887828826904,148.25801515579224,0.004877854347229,0.0004257417917251,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.2,True,336,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
65,Mode.DLMT_DQ_F_TORQUE,7.459973831176757,2.2217395305633545,9.288879483938215,9.288879483938215,100.23489689826964,0.0048427675962448,0.0004175816774368,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.0,0.01,0.5,True,226,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
66,Mode.DLMT_DQ_F_TORQUE,6.829917478561401,2.0324926376342773,21.816134452819824,21.816134452819824,58.462424993515015,0.0050989969968795,0.0004548288583755,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.0,True,133,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
67,Mode.DLMT_DQ_F_TORQUE,5.74974988937378,1.880908727645874,-4.275856912136078,4.275856912136078,121.26210713386536,0.0050421974658966,0.0004408812522888,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.2,True,272,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
68,Mode.DLMT_DQ_F_TORQUE,6.607574825286865,2.083631753921509,6.409800797700882,6.409800797700882,143.09513330459595,0.0048604323863983,0.0004217377901077,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.001,0.01,0.5,True,324,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
69,Mode.DLMT_DQ_F_TORQUE,9.44730167388916,2.3803415298461914,37.26738393306732,37.26738393306732,78.28223919868469,0.0051227558851242,0.0004263434410095,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,187,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
70,Mode.DLMT_DQ_F_TORQUE,6.288343448638916,1.955890774726868,20.21525204181671,20.21525204181671,121.57843208312988,0.0049131752252578,0.0004253469705581,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,274,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
71,Mode.DLMT_DQ_F_TORQUE,7.00613468170166,2.15268349647522,15.047915279865263,15.047915279865263,132.65634274482727,0.0050884096622467,0.0004573678970336,64,"[512, 512, 512]","[GELU(approximate='none'), GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.5,True,298,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
