num_try,mode,val_loss,val_acc,val_error,val_abs_error,execution_time_train,execution_time_load_saved_model,execution_time_use_saved_model,batch_size,n_nodes,activations,L1_penalty,L2_penalty,learning_rate,dropout_prob,use_batch_norm,num_epoch_used,criterion_name,criterion_params
52,Mode.DLMT_DQ_FM,14.437140121459962,2.828042984008789,-15.957890450954435,15.957890450954435,76.24367809295654,0.0022767162322998,0.0002471424341201,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.2,True,287,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
53,Mode.DLMT_DQ_FM,21.56549983978272,2.368373155593872,-17.71010458469391,17.71010458469391,64.45216631889343,0.002306020617485,0.0002520891427993,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.2,True,243,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
54,Mode.DLMT_DQ_FM,23.803367958068847,2.148010015487671,-12.788233160972595,12.788233160972595,77.34461712837219,0.0023307152986526,0.0002559556961059,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.2,True,292,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
55,Mode.DLMT_DQ_FM,52.20350074768066,2.307619333267212,-12.568484246730804,12.568484246730804,90.43282794952393,0.0024045844078063,0.0002637447118759,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.2,True,340,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
56,Mode.DLMT_DQ_FM,25.982117080688475,3.728805541992188,-14.565786719322205,14.565786719322205,56.8077085018158,0.0022820504903793,0.0002504111528396,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.5,True,213,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
57,Mode.DLMT_DQ_FM,44.64345726013184,3.511089324951172,-14.15235847234726,14.15235847234726,56.57480597496033,0.0022920997142791,0.0002499130964279,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.5,True,212,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
58,Mode.DLMT_DQ_FM,62.86408309936523,3.686201333999634,-13.914278149604796,13.914278149604796,54.13088512420654,0.0022999581098556,0.0002493844032287,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.5,True,203,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
59,Mode.DLMT_DQ_FM,106.99098937988282,3.48911190032959,-10.789884626865389,10.789884626865389,95.03237462043762,0.0022744332551956,0.0002465393543243,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.01,0.01,0.5,True,360,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
60,Mode.DLMT_DQ_FM,9.305401496887209,2.1841728687286377,1.947166956961155,1.947166956961155,81.91708064079285,0.002274003624916,0.0002502055168151,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.0,True,316,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
61,Mode.DLMT_DQ_FM,21.09865707397461,2.4014315605163574,-9.915079921483994,9.915079921483994,56.34927272796631,0.0022747890949249,0.0002497231960296,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.0,True,217,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
62,Mode.DLMT_DQ_FM,20.961095886230467,2.0963101387023926,2.0367396995425224,2.0367396995425224,75.01282119750977,0.0022774895429611,0.000249518752098,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.0,True,289,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
63,Mode.DLMT_DQ_FM,53.225105895996094,2.3849124908447266,3.956921771168709,3.956921771168709,53.90671133995056,0.0022883735895156,0.0002503991127014,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.0,True,208,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
64,Mode.DLMT_DQ_FM,10.34252851486206,2.288069725036621,-18.96550804376602,18.96550804376602,89.05088329315186,0.0022813304662704,0.0002500474452972,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.2,True,336,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
65,Mode.DLMT_DQ_FM,21.89157932281494,2.3965017795562744,-16.786210238933563,16.786210238933563,75.65727424621582,0.0022808513641357,0.0002491501569747,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.2,True,286,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
66,Mode.DLMT_DQ_FM,31.943194961547853,2.612105131149292,-19.75671797990799,19.75671797990799,88.45275902748108,0.0022884323596954,0.0002482826709747,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.2,True,334,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
67,Mode.DLMT_DQ_FM,48.058965606689455,2.2131710052490234,-8.954323828220367,8.954323828220367,92.62293219566344,0.0023010493516921,0.0002522590160369,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.2,True,350,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
68,Mode.DLMT_DQ_FM,19.342664260864257,3.248316526412964,-10.64714640378952,10.64714640378952,90.9792218208313,0.0022821679115295,0.0002510515451431,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.5,True,344,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
69,Mode.DLMT_DQ_FM,34.83241729736328,3.060051441192627,-12.10903748869896,12.10903748869896,105.04436111450195,0.0022766510248184,0.0002503622770309,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.5,True,396,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
70,Mode.DLMT_DQ_FM,54.16509101867676,3.403320550918579,-14.829277992248535,14.829277992248535,88.09788346290588,0.0022673623561859,0.0002491466999053,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.5,True,332,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
71,Mode.DLMT_DQ_FM,101.83661239624024,3.285228729248047,-16.467545926570892,16.467545926570892,61.42438268661499,0.002276268005371,0.00024866938591,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.01,0.001,0.01,0.5,True,232,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
72,Mode.DLMT_DQ_FM,8.940333881378173,2.1325771808624268,-3.811910748481752,3.811910748481752,90.58601021766664,0.0022752563953399,0.0002475353479385,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,350,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
73,Mode.DLMT_DQ_FM,22.08544334411621,2.416452407836914,-18.812470138072968,18.812470138072968,75.2362163066864,0.0023270734548568,0.0002494701147079,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,291,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
74,Mode.DLMT_DQ_FM,25.424144515991213,2.319886922836304,10.406582057476044,10.406582057476044,60.62531113624573,0.0022600353956222,0.0002486399412155,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,236,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
75,Mode.DLMT_DQ_FM,44.01738212585449,2.172259330749512,-1.1431333608925345,1.1431333608925345,87.25448107719421,0.0023216595649719,0.0002545412778854,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.0,True,330,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
76,Mode.DLMT_DQ_FM,11.691838493347168,2.4197256565093994,-14.211641252040865,14.211641252040865,74.07453918457031,0.0022734453678131,0.0002494792938232,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,278,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 0.5}"
77,Mode.DLMT_DQ_FM,23.874615058898925,2.413546562194824,-16.685612499713898,16.685612499713898,65.32258534431458,0.0022716691493988,0.000249184012413,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,244,ModifiedHuberLoss,"{'delta': 0.2, 'factor': 1.0}"
78,Mode.DLMT_DQ_FM,28.54792484283448,2.360774278640747,-11.74595057964325,11.74595057964325,59.82779264450073,0.0023326671123504,0.000254276394844,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,225,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 0.5}"
79,Mode.DLMT_DQ_FM,61.76766632080078,2.5924782752990723,-15.186052024364471,15.186052024364471,100.19713282585144,0.0023695347309112,0.0002569096088409,64,"[64, 64]","[GELU(approximate='none'), GELU(approximate='none')]",0.001,0.01,0.01,0.2,True,373,ModifiedHuberLoss,"{'delta': 0.5, 'factor': 1.0}"
